,Product Name ,Product Cost,Link,Product_Img_Link,HighLight,Description,Specification,feedback ,seller
0,DOVE Men+Care Fresh & Clean 2in1 Shampoo+Conditioner  (340 ml),₹337,https://www.flipkart.com/dove-men-care-fresh-clean-2in1-shampoo-conditioner/p/itma0845a36a9bc4?pid=SMPGNP7SWTMHPMUZ&lid=LSTSMPGNP7SWTMHPMUZIYTFWZ&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=en_6so881l4oRYKhvXcafEzDeAtLxbNhwhKUCyJpk%2Fo4WeS4Qv6TMwtUx1kLDNG6jyxFmq2Axfq5x1howMxE8dqUw%3D%3D&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/x/h/p/-original-imagnwuqehpszbzy.jpeg?q=70,"Scalp Cleansing Shampoo Ideal For: Men Suitable For: All Hair Types Composition: Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate, Sodium Chloride, Perfume, Carbomer, Sodium Hydroxide, Guar Hydroxypropyltrimonium Chloride, Disodium EDTA, Menthol, Citric Acid, Caffeine, Mentha Piperita (Peppermint) Leaf Extract, Sodium Benzoate, Limonene, Linalool",No Description,"Applied For	Scalp Cleansing
Net Quantity	3",,Vani Life Care4.1
7,PANTENE Silky Smooth Care Shampoo Plus Conditioner  (2 Items in the set),₹703,https://www.flipkart.com/pantene-silky-smooth-care-shampoo-plus-conditioner/p/itme324096c8c109?pid=CBKFJRYBNQY5TWEZ&lid=LSTCBKFJRYBNQY5TWEZG1IN9B&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=en_6so881l4oRYKhvXcafEzDeAtLxbNhwhKUCyJpk%2Fo4WcskYoEvYQMVYtgPWj66D2JsVX5l3gqiGAVOFfCw5TTeQ%3D%3D&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/k1i6ikw0/combo-kit/w/e/z/silky-smooth-care-shampoo-plus-conditioner-4914430952299-pantene-original-imafh258qthzdmuf.jpeg?q=70,Pack of: 2 For: Men & Women Includes Hair Care Combo,"Shampoo and condition your hair the right way with the unique blend of the age-old secret - Fermented Rice Water and Pantene's Signature Pro-Vitamin Formula - your ultimate weapon against hairfall problems. The unique formula, nourishes your hair, giving advanced hair fall protection from the first wash itself. Pair the�Pantene Silky Smooth Care Shampoowith the�Pantene Silky Smooth Care Conditioner for the perfect regimen for silky smooth's & nourished hair also giving you long lasting�hair fall�protection.","Model Number	4914430952299
Sales Package	1 Shampoo, Conditioner
Ideal For	Men & Women
Type	Hair Care Combo
Net Quantity	2",flipkart is just amazing I got this combo just for 252 in big billion days thank u so much flipkart and the seller :- Save money product :- Amazing... this is my 2nd purchase,SURICYBCOMBazaar4.7
8,"mamaEarth Hair Regrowth Combo (Onion Shampoo, 250ml + Onion Conditioner, 250ml)  (2 Items in the set)",₹557,https://www.flipkart.com/mamaearth-hair-regrowth-combo-onion-shampoo-250ml-onion-conditioner-250ml/p/itm1593727e2528a?pid=CBKFK9DWBCHPCVAZ&lid=LSTCBKFK9DWBCHPCVAZOX3E2J&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=75a12d0f-38e9-499f-b03d-69206f5a690f.CBKFK9DWBCHPCVAZ.SEARCH&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/combo-kit/t/c/i/-original-imagzzm5zzgf38bf.jpeg?q=70,Pack of: 2 For: Men & Women Includes Hair Care Combo,No Description,"Model Number	Hair Regrowth Combo
Sales Package	1 Onion Shampoo, 250ml::1 Onion Conditioner, 250ml
Ideal For	Men & Women
Type	Hair Care Combo
